CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35740,BI,0171P,12,General Biology II PLG,0,W 0600-0650pm,,STAFF,
35087,BI,0201,01,Biology Teaching Practicum,1,By Arrangement,,Gerry S,
35088,BI,0202,01,Biology Teaching Practicum,1,By Arrangement,,Gerry S,
35175,BI,0203,01,Biology Teaching Practicum,1,By Arrangement,,Gerry S,
35176,BI,0204,01,Biology Teaching Practicum,1,By Arrangement,,Gerry S,
35741,BI,0205,01,Biology Teaching Practicum,1,By Arrangement,,Gerry S,
34310,BI,0261,01,Genetics,4,TF 0930-1045am,,Church G,
34365,BI,0261L,01,Genetics Lab,0,T 0200-0450pm,,Church G,
34366,BI,0261L,02,Genetics Lab,0,W 0200-0450pm,,Fernandez A,
35742,BI,0262,01,Human Physiology,4,MR 0930-1045am,,Moran C,
35743,BI,0262L,01,Human Physiology Lab,0,T 0200-0450pm,,Gerry S,
35113,BI,0296,01,Special Topics in Biology,3,By Arrangement,,Phelan S,
35744,BI,0319,01,Zoology Field Experience,3,W 1100-0130pm,,Byun S,SERL
35745,BI,0319L,01,Zoology Field Experience Lab,3,W 1100-0130pm,,Byun S,SERL
34297,BI,0324,01,Biochemistry I,3,MR 0930-1045am,,Smith-Carpenter J,
34367,BI,0324L,01,Biochemistry Lab,1,W 0200-0450pm,,Smith-Carpenter J,
35179,BI,0327,01,Cell Biology,4,TF 1100-1215pm,,Phelan S,
35182,BI,0327L,01,Cell Biology Lab,0,T 0200-0450pm,,Phelan S,
35746,BI,0330,01,Nutrient Metabolism,3,MR 1100-1215pm,,Andersen C,
35747,BI,0342,01,Developmental Biology,4,TF 0930-1045am,,Fernandez A,
35748,BI,0342L,01,Developmental Biology Lab,0,T 0200-0450pm,,Fernandez A,
35749,BI,0357,01,General Virology,3,MR 1230-0145pm,,Braun P,
35750,BI,0364,01,Freshwater Ecology,4,MR 1100-1215pm,,Klug J,
35751,BI,0364L,01,Freshwater Ecology Lab,0,R 0200-0450pm,,Klug J,
35112,BI,0398,01,Internship,3,By Arrangement,,Gerry S,
35188,BI,0399F,01,Capstone: Coral Reef Ecology,3,W 0200-0430pm,,Brousseau D,
35754,BI,0399K,01,Capstone Seminar: Ichthyology,3,MR 0930-1045am,,Gerry S,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
