CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34260,FR,0111,01,Elementary French II,3 TWF,0800-0850am,Erotopoulos Z,
34313,FR,0111,02,Elementary French II,3 TF,0930-1020am,Erotopoulos Z,
"",,,,,W,0900-0950am,,
34376,FR,0111,03,Elementary French II,3 TF,1230-0120pm,Boyce M,
"",,,,,W,0100-0150pm,,
34843,FR,0111,04,Elementary French II,3 TF,0200-0250pm,Boyce M,
"",,,,,W,0300-0350pm,,
34261,FR,0211,01,Intermediate French II,3 TWF,1100-1150am,Erotopoulos Z,
34262,FR,0211,02,Intermediate French II,3 MR,0930-1020am,Goldfield J,
"",,,,,W,0900-0950am,,
34263,FR,0211,03,Intermediate French II,3 TWF,0400-0450pm,Boyce M,
34804,FR,0220,01,Topics in Language and Culture,3 TF,1230-0145pm,Erotopoulos Z,
35765,FR,0267,01,French Commercial Culture,3 MR,1100-1215pm,Goldfield J,
35032,FR,0399,01,Capstone Seminar,3 MR,0200-0315pm,Goldfield J,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34255,GM,0111,01,Elementary German II,3 TF,0930-1020am,Wilkinson E,
"",,,,,W,0900-0950am,,
34256,GM,0211,01,Intermediate German II,3 TWF,0800-0850am,Wilkinson E,
35766,GM,0241,01,German Cinema,3 TF,1100-1215pm,Wilkinson E,
35257,GM,0399,01,Capstone Seminar,3 MR,0200-0315pm,Goldfield J,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35370,GD,0202,01,Graphic Design II,3 R,0500-0730pm,Durand M,
CRN,Subj,Course,Sec,Title,Creds Days Time,,Instructor,Notes
34378,GR,0210,01,Intermediate Greek Readings I,3 By Arrangement,,Rosivach V,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35767,HE,0110,01,Elementary Hebrew I,3 MR,0930-1045am,Shur R,
35768,HE,0211,01,Intermediate Hebrew II,3 MR,0800-0915am,Shur R,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34534,HI,0010,01,Origins of Mod Wrld Since 1500,3 MR,1100-1215pm,Lawrence A,
34535,HI,0010,02,Origins of Mod Wrld Since 1500,3 TF,1230-0145pm,Rutter N,
34536,HI,0010,03,Origins of Mod Wrld Since 1500,3 MR,0930-1020am,Rosenfeld G,
"",,,,,W,0900-0950am,,
34537,HI,0010,04,Origins of Mod Wrld Since 1500,3 TF,1100-1215pm,Rutter N,
34538,HI,0010,05,Origins of Mod Wrld Since 1500,3 MR,0330-0445pm,Palmer L,
34539,HI,0010,06,Origins of Mod Wrld Since 1500,3 MR,0930-1045am,Purushotham S,
34540,HI,0010,07,Origins of Mod Wrld Since 1500,3 MR,1230-0120pm,Behre P,
"",,,,,W,1200-1250pm,,
34541,HI,0010,08,Origins of Mod Wrld Since 1500,3 MR,1100-1150am,Behre P,
"",,,,,W,1000-1050am,,
34542,HI,0010,09,Origins of Mod Wrld Since 1500,3 M,0630-0900pm,Behre P,
34543,HI,0010,10,Origins of Mod Wrld Since 1500,3 R,0500-0730pm,Hohl E,
34726,HI,0010,11,Origins of Mod Wrld Since 1500,3 MR,0800-0915am,Purushotham S,
34842,HI,0010,12,Origins of Mod Wrld Since 1500,3 MR,0200-0315pm,Lawrence A,
35348,HI,0010,13,Origins of Mod Wrld Since 1500,3 TF,0930-1045am,Keegan K,
34661,HI,0202,01,Health & Healing in America,3 MR,0930-1045am,Palmer L,IGRC
35796,HI,0203,01,European Society Middle Ages,3 MR,0330-0445pm,Behre P,
35797,HI,0212,01,Mod Germany: Reich to Republic,3 MR,1230-0145pm,Rosenfeld G,
35798,HI,0213,01,Europe Since World War II,3 TF,1230-0145pm,Rosenfeld G,
35799,HI,0242,01,"Immigration, Race, Ethnicity",3 MR,1230-0145pm,Bucki C,UDIV
35800,HI,0242,02,"Immigration, Race, Ethnicity",3 MR,0200-0315pm,Bucki C,UDIV
35801,HI,0262,01,African-Amer History 1619-1865,3 TF,1230-0145pm,Hohl E,UDIV
35802,HI,0262,02,African-Amer History 1619-1865,3 TF,0200-0315pm,Hohl E,UDIV
34663,HI,0270,01,Hist/Globl Humanitarian Action,3 TF,0930-1045am,McFadden D,SJRC WDIV
35356,HI,0273,01,Centrl&Eastrn Europe Since1945,3 W,1100-0130pm,Pichlikova-Burke L,
35803,HI,0279,01,China Classical Time to 1800s,3 TF,0930-1045am,Li D,WDIV
35804,HI,0279,02,China Classical Time to 1800s,3 TF,1100-1215pm,Li D,WDIV
35357,HI,0280,01,The West and the Middle East,3 TF,0200-0315pm,Coury R,WDIV
35358,HI,0280,02,The West and the Middle East,3 TF,1100-1215pm,Coury R,WDIV
35805,HI,0289,01,Modern Latin America 1800-Pres,3 MR,1100-1215pm,Adair J,WDIV
35806,HI,0289,02,Modern Latin America 1800-Pres,3 MR,0200-0315pm,Adair J,WDIV
35807,HI,0298,01,Historical Geography,3 TF,0200-0315pm,Keegan K,
35808,HI,0335,01,Civil War and Reconstruction,3 W,0200-0430pm,Hohl E,
35809,HI,0368,01,Decolonization in World Hist,3 R,0500-0730pm,Purushotham S,
35810,HI,0385,01,Comparative Russian Revolutns,3 T,0500-0730pm,McFadden D,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34115,HR,0101,01,Minds and Bodies,4 MR,1100-1215pm,LoMonaco M,
"",,,,,W,1000-1050am,,
34116,HR,0101,02,Minds and Bodies,4 TF,0900-1040am,Rose M,
35941,HR,0101,03,Minds and Bodies,4 MR,1230-0145pm,Porter L,
"",,,,,W,1200-1250pm,,
34043,HR,0201,01,Non-Western Culture,3,TF,0200-0315pm,Li D,WDIV
34124,HR,0202,01,Honors Seminar,3,MR,1230-0145pm,Slotemaker J,
34125,HR,0202,02,Honors Seminar,3,TF,1230-0145pm,Labinski M,
34287,HR,0202,03,Honors Seminar,3,MR,1100-1215pm,Nash L,RCOL UDIV
34126,HR,0300,01,Interdisciplinary Inquiry,3,MR,1230-0145pm,Bayers P,
CRN,Subj,Course,Sec,Title,Creds Days Time,,Instructor,Notes
35386,HA,0298,01,Humanitarian Action Internship,3 By Arrangement,,Mughal J,
35342,HA,0300,01,Humanitarian Action Capstone,3 W 1100-0130pm,,Leatherman J,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35892,HU,0201,01,Technical Skills for Lib Arts,3 MR,0200-0315pm,STAFF,
35097,HU,0301,01,Humanities Institute Seminar,3 TF,0330-0445pm,Behre P,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34252,IL,0050,01,"People, Places & Global Issues",3 MR,0930-1045am,Cantave R,WDIV
35686,IL,0050,02,"People, Places & Global Issues",3 MR,1230-0145pm,Cantave R,WDIV
34316,IL,0051,01,Intl Rels: Theories&Challenges,3 TF,1230-0145pm,Garcia Iommi L,
34253,IL,0052,01,Culture and Political Economy,3 TF,0930-1045am,Crawford D,
34073,IL,0300,01,Senior Capstone Seminar,3 M,0800-1030am,Franceschi D,
34086,IL,0300,02,Senior Capstone Seminar,3 W,1100-0130pm,Babo A,
35687,IL,0300,03,Senior Capstone Seminar,3 F,0200-0430pm,Leatherman J,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35431,IRI,0111,01,Intro to Irish Language II,3 MW,0630-0745pm,Feeney J,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34673,IT,0111,01,Elementary Italian II,3 MR,1100-1150am,Carolan M,
"",,,,,W,1000-1050am,,
34674,IT,0111,02,Elementary Italian II,3 MR,1230-0120pm,Carolan M,
"",,,,,W,1200-1250pm,,
34675,IT,0111,03,Elementary Italian II,3 MWR,0200-0250pm,Eliasoph Y,
34676,IT,0111,04,Elementary Italian II,3 MWR,0400-0450pm,Eliasoph Y,
34677,IT,0111,05,Elementary Italian II,3 TF,1230-0120pm,Christopher F,
"",,,,,W,0100-0150pm,,
35258,IT,0111,06,Elementary Italian II,3 TF,0200-0250pm,Christopher F,
"",,,,,W,0300-0350pm,,
34264,IT,0211,01,Intermediate Italian II,3 MWR,0500-0550pm,De Cicco L,
34265,IT,0211,02,Intermediate Italian II,3 TWF,0800-0850am,Diaz S,
34266,IT,0211,03,Intermediate Italian II,3 TF,0930-1020am,Diaz S,
"",,,,,W,0900-0950am,,
34377,IT,0211,04,Intermediate Italian II,3 TWF,0400-0450pm,Christopher F,
35769,IT,0257,01,Theatre in Italy: Comedy,3 TF,1100-1215pm,Diaz S,
35944,IT,0271,01,Italian Cinema,3 MR,0930-1045am,Carolan M,
35033,IT,0399,01,Capstone Seminar,3 MR,0200-0315pm,Goldfield J,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34267,JA,0111,01,Elementary Japanese II,3 MWR,0400-0450pm,Avery K,
34268,JA,0211,01,Intermediate Japanese II,3 MR,0200-0315pm,Avery K,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34300,LA,0211,01,Readings in Latin II: Sallust,3 MR,0930-1045am,Rosivach V,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34174,LAC,0300,01,Justice and the Dev World,4 W,0200-0430pm,Farrell M,WDIV
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35387,MA,0011,01,Precalculus,3 TF,0330-0445pm,DiCenso A,
35388,MA,0015,01,Mathematics: An Exploration,3 TF,1230-0145pm,Duckett M,
35389,MA,0016,01,Concepts of Calculus,3 TF,1230-0120pm,Ryan D,
"",,,,,W,0100-0150pm,,
35390,MA,0016,02,Concepts of Calculus,3 TR,0500-0615pm,Grant M,
35391,MA,0016,03,Concepts of Calculus,3 MW,0500-0615pm,Grant M,
35392,MA,0016,04,Concepts of Calculus,3 MR,1230-0120pm,Bernhardt C,
"",,,,,W,1200-1250pm,,
35393,MA,0016,05,Concepts of Calculus,3 MWR,0200-0250pm,Bernhardt C,
35918,MA,0016,06,Concepts of Calculus,3 MR,1100-1215pm,Baginski P,
34288,MA,0017,01,Intro Probability & Statistics,3 MR,0200-0315pm,Duckett M,
34502,MA,0017,02,Intro Probability & Statistics,3 MR,1230-0145pm,Duckett M,
34503,MA,0017,03,Intro Probability & Statistics,3 TWF,1100-1150am,McSweeney L,
35919,MA,0017,04,Intro Probability & Statistics,3 TF,0200-0315pm,Lalani R,
34504,MA,0119,01,Applied Calculus I,3 TWF,1100-1150am,Cunningham P,
34505,MA,0119,02,Applied Calculus I,3 MR,1230-0120pm,Wakin S,
"",,,,,W,1200-1250pm,,
35009,MA,0119,03,Applied Calculus I,3 TF,0930-1020am,Cunningham P,
"",,,,,W,0900-0950am,,
34635,MA,0120,01,Applied Calculus II,3 TWF,1100-1150am,Weiss J,
34636,MA,0120,02,Applied Calculus II,3 TF,1230-0120pm,Staecker C,
"",,,,,W,0100-0150pm,,
35394,MA,0120,03,Applied Calculus II,3 TF,0930-1020am,Weiss J,
"",,,,,W,0900-0950am,,
35920,MA,0120,04,Applied Calculus II,3 MR,0200-0315pm,Giegengack E,
34500,MA,0146,01,Calculus II (Chem/Engr/Phys),4 MR,1230-0145pm,Sawin S,
"",,,,,W,1200-1250pm,,
34501,MA,0146,02,Calculus II (Chem/Engr/Phys),4 MR,1100-1215pm,LeMay S,
"",,,,,W,1000-1050am,,
35010,MA,0146,03,Calculus II (Chem/Engr/Phys),4 TF,0200-0315pm,Ryan D,
"",,,,,W,0300-0350pm,,
35921,MA,0146,04,Calculus II (Chem/Engr/Phys),4 TF,1230-0145pm,Weiss J,
"",,,,,W,0100-0150pm,,
34028,MA,0172,01,Calculus II,4 MR,0800-0915am,LeMay S,
"",,,,,W,0800-0850am,,
34289,MA,0172,02,Calculus II,4 MR,0930-1045am,LeMay S,
"",,,,,W,0900-0950am,,
35922,MA,0172,03,Calculus II,4 MR,1100-1215pm,Mulvey I,
"",,,,,W,1000-1050am,,
35923,MA,0172,04,Calculus II,4 MR,0200-0315pm,Rafalski S,
"",,,,,W,0200-0250pm,,
35924,MA,0211,01,Applied Matrix Theory,3,MWR,0200-0250pm,Wakin S
34144,MA,0217,01,Accelerated Statistics,3,MR,0930-1045am,Fine B
34189,MA,0217,02,Accelerated Statistics,3,TWF,0800-0850am,McSweeney L
34236,MA,0217,03,Accelerated Statistics,3,MWR,0200-0250pm,Mulvey I
34273,MA,0217,04,Accelerated Statistics,3,MR,0800-0915am,Cron J
34275,MA,0217,05,Accelerated Statistics,3,MR,0930-1045am,Cron J
34276,MA,0217,06,Accelerated Statistics,3,MR,0800-0915am,Danaher R
34637,MA,0217,07,Accelerated Statistics,3,MR,0930-1045am,Danaher R
34638,MA,0217,08,Accelerated Statistics,3,TF,1100-1215pm,Hashemiyeh S
34639,MA,0217,09,Accelerated Statistics,3,TF,1230-0145pm,Hashemiyeh S
34725,MA,0217,10,Accelerated Statistics,3,TR,0500-0615pm,Kapoor N
34776,MA,0217,11,Accelerated Statistics,3,TF,1230-0120pm,Madera V
"",,,,,,W,0100-0150pm,
34867,MA,0217,12,Accelerated Statistics,3,TF,0200-0250pm,Madera V
"",,,,,,W,0300-0350pm,
35011,MA,0217,13,Accelerated Statistics,3,MWR,0200-0250pm,Sawin S
34640,MA,0231,01,Discrete Mathematics,3,TF,0200-0315pm,Duckett M
35089,MA,0231,02,Discrete Mathematics,3,TF,0930-1020am,Striuli J
"",,,,,,W,0900-0950am,
34029,MA,0235,01,Linear Algebra,3,MR,1100-1150am,Rafalski S
"",,,,,,W,1000-1050am,
34030,MA,0235,02,Linear Algebra,3,TWF,1100-1150am,Staecker C
35012,MA,0251,01,Ordinary Differentl Equations,3,MR,0200-0315pm,Coleman M
35013,MA,0251,02,Ordinary Differentl Equations,3,TF,1230-0145pm,Wakin S
35395,MA,0251,03,Ordinary Differentl Equations,3,TF,1100-1215pm,Wakin S
34506,MA,0300,01,Topics in Discrete Mathematics,3,TF,1230-0120pm,Striuli J
"",,,,,,W,0100-0150pm,
35925,MA,0332,01,Partial Differential Equations,3,MR,0330-0445pm,Coleman M
35926,MA,0337,01,Number Theory,3,MR,0930-1045am,Baginski P
34389,MA,0342,01,Theory of Computation,3,TF,0930-1020am,Staecker C
"",,,,,,W,0900-0950am,
34031,MA,0352,01,Mathematical Statistics,3,TF,0930-1020am,McSweeney L
"",,,,,,W,0900-0950am,
34309,MA,0354,01,Actuarial Problem Solving,1,W,0200-0250pm,McSweeney L
35927,MA,0361,01,Topics in Algebra,3,MW,0500-0615pm,Baginski P
35396,MA,0373,01,Complex Analysis,3,MR,1100-1215pm,Demers M
34032,MA,0391,01,Honors Seminar II,3,MR,1230-0145pm,Demers M
CRN,Subj,Course,Sec,Title,Creds Days Time,,Instructor,Notes
34096,MU,0101,01,The History of Jazz,3 T 0500-0730pm,,Fumasoli J,UDIV
35701,MU,0103,01,History of Music: 400-1700,3 TF 1100-1215pm,,Murchie A,
34193,MU,0104,01,History of Music: 1700-1964,3 TF 1230-0145pm,,Murchie A,
34647,MU,0104,02,History of Music: 1700-1964,3 MR 0930-1045am,,Nash L,
35052,MU,0104,OL1,History of Music: 1700-1964,3 Online,,Ciavaglia M,
35702,MU,0132,01,Crit Issues in Amer Pop Music,3 MR 0930-1045am,,Torff B,UDIV
35703,MU,0132,02,Crit Issues in Amer Pop Music,3 MR 1100-1215pm,,Torff B,UDIV
35373,MU,0156,01,Intro to Music Technology,3 TF 1230-0145pm,,Cooney M,
35948,MU,0200D,01,Spec Topics: Audio Post Produc,3 F 0930-1200pm,,Matley J,
35374,MU,0201,OL1,Hip-Hop and Its Antecedants,3 Online,,Virdin A,UDIV
35437,MU,0244,01,Music of the 20th Century,3 W 0200-0430pm,,Ciavaglia M,SJRC
34108,MU,0250,01,Music Theory & Composition II,3 TF 1100-1215pm,,Cooney M,
34154,MU,0255,01,Instrumental Ensembles,1 T 0700-0930pm,,Grauer J,
34077,MU,0256,01,Jazz Ensemble,1 T 0500-0630pm,,Torff B,
34286,MU,0311,01,Senior Capstone Project II,3 By Arrangement,,Nash L,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34507,PH,0101,01,Introduction to Philosophy,3 MR,1230-0145pm,Brill S,
34508,PH,0101,02,Introduction to Philosophy,3 MR,0200-0315pm,Brill S,
34509,PH,0101,03,Introduction to Philosophy,3 MR,0930-1045am,Davenport D,
34510,PH,0101,04,Introduction to Philosophy,3 MR,1100-1215pm,Keenan D,
34511,PH,0101,05,Introduction to Philosophy,3 MW,0500-0615pm,Alcorn J,
34512,PH,0101,06,Introduction to Philosophy,3 MR,1230-0145pm,Weekes A,
34513,PH,0101,07,Introduction to Philosophy,3 TF,0200-0315pm,Bayne S,
34514,PH,0101,08,Introduction to Philosophy,3 MW,0630-0745pm,Alcorn J,
34515,PH,0101,09,Introduction to Philosophy,3 MR,0330-0445pm,Keenan D,
34516,PH,0101,10,Introduction to Philosophy,3 TF,0930-1045am,Drake R,
34517,PH,0101,11,Introduction to Philosophy,3 MR,0800-0915am,Davenport D,
34518,PH,0101,12,Introduction to Philosophy,3 MR,0930-1045am,Spinale K,
34519,PH,0101,13,Introduction to Philosophy,3 TF,0200-0315pm,Smith J,
34520,PH,0101,14,Introduction to Philosophy,3 MR,0200-0315pm,Smith J,
34521,PH,0101,15,Introduction to Philosophy,3 TF,0330-0445pm,Smith J,
34522,PH,0101,16,Introduction to Philosophy,3 TR,0500-0615pm,Corcoran P,
35193,PH,0101,17,Introduction to Philosophy,3 TF,0330-0445pm,Sypher L,
35194,PH,0101,18,Introduction to Philosophy,3 TR,0630-0745pm,Corcoran P,
35195,PH,0101,19,Introduction to Philosophy,3 MW,0500-0615pm,Weekes A,
35811,PH,0101,20,Introduction to Philosophy,3 T,0500-0730pm,Guindon E,
35812,PH,0101,21,Introduction to Philosophy,3 R,0500-0730pm,Guindon E,
35813,PH,0101,22,Introduction to Philosophy,3 MW,0630-0745pm,Weekes A,
34523,PH,0200,01,Ancient Philosophy,3 TF,1230-0145pm,Drake R,
34524,PH,0200,02,Ancient Philosophy,3 TF,1100-1215pm,Drake R,
35814,PH,0200,03,Ancient Philosophy,3 MR,0200-0315pm,Weekes A,
34525,PH,0202,01,Modern Philosophy,3 TF,0930-1045am,Bayne S,
35815,PH,0202,02,Modern Philosophy,3 TF,1100-1215pm,Bayne S,
34526,PH,0209,01,Existentialism,3 TR,0500-0615pm,Stambovsky P,
34527,PH,0209,02,Existentialism,3 TR,0630-0745pm,Stambovsky P,
34528,PH,0215,01,Philosophy of Science,3 MR,0330-0445pm,Colburn J,
35816,PH,0217,01,Logic,3 MR,1100-1215pm,Colburn J,
35817,PH,0221,01,The Question of Religion,3 MR,0930-1045am,Keenan D,
35818,PH,0222,01,Evil,3 TF,1230-0145pm,Lew G,
35819,PH,0230,01,Phil of Self and Subjectivity,3 F,0200-0430pm,Lew G,
34973,PH,0240,01,Intro to Asian Philosophies,3 TF,1230-0145pm,Rodrigues U,WDIV
34974,PH,0240,02,Intro to Asian Philosophies,3 TF,0200-0315pm,Rodrigues U,WDIV
34530,PH,0250,01,Ethical Theory,3 MR,0330-0445pm,Naser C,
34531,PH,0250,02,Ethical Theory,3 F,0200-0430pm,Svoboda T,
35820,PH,0250,03,Ethical Theory,3 MW,0630-0745pm,Naser C,
34532,PH,0260,01,Social & Political Philosophy,3 M,0800-1030am,Fernandez J,
34533,PH,0260,02,Social & Political Philosophy,3 F,0800-1030am,Fernandez J,
35198,PH,0270,01,Aesthetics,3 R,0500-0730pm,Smith J,
35821,PH,0282,01,Violence and the Sacred,3 TF,0930-1045am,Labinski M,
35822,PH,0282,02,Violence and the Sacred,3 TF,1100-1215pm,Labinski M,CLRC
35823,PH,0300,01,Plato,3 MR,1100-1215pm,Brill S,
35824,PH,0350,01,Advanced Topics in Ethics,3 T,0500-0730pm,Svoboda T,
35825,PH,0360,01,Critical Race Theory,3 W,1100-0130pm,Sealey K,UDIV
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35073,PS,0078,OL1,The Nature of the Universe,3,Online,Kuhn J,
34229,PS,0087,01,Fundamentals of Astronomy,3 MR,1230-0145pm,Norvell B,
34238,PS,0087,02,Fundamentals of Astronomy,3 MR,0200-0315pm,Norvell B,
35306,PS,0116,01,General Physics II,3 TF,1100-1215pm,Biselli A,
"",,,,,W,1100-1150am,,
35307,PS,0116,02,General Physics II,3 TF,0800-0915am,Stott J,
"",,,,,W,0800-0850am,,
35308,PS,0116,03,General Physics II,3 TR,0500-0640pm,Dlugos D,
35309,PS,0116,04,General Physics II,3,MR,0800-0915am,Xu M
"",,,,,,W,0800-0850am,
35310,PS,0116,05,General Physics II,3,TF,0930-1045am,Stott J
"",,,,,,W,0900-0950am,
35311,PS,0116,06,General Physics II,3,MR,1100-1215pm,Das B
"",,,,,,W,1000-1050am,
35312,PS,0116L,01,General Physics II Lab,1,M,0200-0430pm,Das B
35313,PS,0116L,02,General Physics II Lab,1,T,0200-0430pm,Cordery R
35314,PS,0116L,03,General Physics II Lab,1,W,0200-0430pm,Das B
35315,PS,0116L,04,General Physics II Lab,1,W,0600-0830pm,Cordery R
35316,PS,0116L,05,General Physics II Lab,1,F,0330-0600pm,Kuhn J
35317,PS,0116L,06,General Physics II Lab,1,R,0200-0430pm,Xu M
35721,PS,0206L,01,Modern Optics Lab,1,M,0200-0430pm,Xu M
35722,PS,0215,01,Computational Physics,3,TF,0930-1045am,Biselli A
35723,PS,0222,01,Modern Optics,3,TF,0200-0315pm,Stott J
35724,PS,0260,01,Intro to Biomedical Optics,3,MR,0930-1045am,Das B
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34035,PO,0011,01,Intro to American Politics,3 MR,1230-0145pm,Alphonso G,RCOL SERL
34036,PO,0011,02,Intro to American Politics,3 MR,0200-0315pm,Alberda G,
34037,PO,0012,01,Intro to Comparative Politics,3 TF,1100-1215pm,Patton M,WDIV
34069,PO,0014,01,Intro to Political Theory,3 MR,0930-1045am,Cassidy K,
35334,PO,0118,01,American Political Thought,3 MR,0200-0315pm,Cassidy K,
34603,PO,0130,01,Intl Rels: Theories&Challenges,3 TF,1230-0145pm,Garcia Iommi L,
35787,PO,0132,01,Climate Change: Poli & Policy,3 W,0630-0900pm,Downie D,
35335,PO,0133,01,United States Foreign Policy,3 TF,0200-0315pm,Garcia Iommi L,
35788,PO,0137,01,Threats to Globl Sec in 21st C,3 TF,1100-1215pm,Garcia Iommi L,
35789,PO,0140,01,Islam and Muslim Politics,3 TF,0930-1045am,Patton M,WDIV
35790,PO,0141,01,African Politics,3 MR,0330-0445pm,Boryczka J,SERL WDIV
35337,PO,0147,01,N Ireland: Pol of War & Peace,3 R,0500-0730pm,Cassidy K,
34237,PO,0153,01,"Politics, Race,Class & Gender",3 MR,1230-0145pm,Boryczka J,SJRC UDIV
35791,PO,0155,01,Public Administration,3 T,0630-0900pm,Alberda G,
35942,PO,0165,01,Pol Parties & Interest Groups,3 MR,1100-1215pm,Alphonso G,UDIV
35792,PO,0166,01,American Public Policy,3 TF,0930-1045am,Downie D,
35793,PO,0173,01,Campaigns and Elections,3 W,1100-0130pm,Alberda G,
35794,PO,0190H,01,Topics: Impeachment &25thAmend,3 M,0630-0900pm,STAFF,
35795,PO,0344,01,Seminar on the Middle East,3 T,0500-0730pm,Patton M,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34039,PY,0101,01,General Psychology,3 MR,0800-0915am,Fitzgerald L,
34040,PY,0101,02,General Psychology,3 TF,0930-1045am,Andreychik M,
34766,PY,0101,03,General Psychology,3 MW,0630-0745pm,Creane M,
34790,PY,0101,04,General Psychology,3 MWR,0200-0250pm,Rakowitz S,
34682,PY,0111,01,Dev Psychology for Non-Majors,3 TR,0630-0745pm,Amico M,
34683,PY,0111,02,Dev Psychology for Non-Majors,3 TR,0800-0915pm,Amico M,
35725,PY,0111,03,Dev Psychology for Non-Majors,3 TR,0800-0915pm,Creane M,
35946,PY,0111,OL1,Dev Psychology for Non-Majors,3,Online,Primavera J,UDIV
35726,PY,0121,01,Fundamentals of Social Psych,3 TF,1230-0145pm,Braginsky D,
34694,PY,0122,01,Psychology and the Law,3 TF,0200-0315pm,Braginsky D,
35727,PY,0131,01,Abnormal Psych for Non-Majors,3 MR,0200-0315pm,Hollingsworth D,
34695,PY,0201,01,Statistics for Life Sciences,4,MR 1230-0120pm,,Salafia W,
"",,,,,,W 1200-1250pm,,,
34698,PY,0201,02,Statistics for Life Sciences,4,MR 1100-1150am,,Henkel L,
"",,,,,,W 1000-1050am,,,
34696,PY,0201L,01A,Statistics Lab,,T 0900-1059am,,Salafia W,
34697,PY,0201L,01B,Statistics Lab,,T 0330-0529pm,,Salafia W,
34699,PY,0201L,02A,Statistics Lab,,W 1130-0129pm,,Henkel L,
34700,PY,0201L,02B,Statistics Lab,,W 0200-0359pm,,Henkel L,
34684,PY,0202,01,Research Methods in Psychology,4,MR 0900-1040am,,Rakowitz S,
34685,PY,0202,02,Research Methods in Psychology,4,MR 0330-0510pm,,Hollingsworth D,
34701,PY,0211,01,Developt Psychology for Majors,3,MW 0500-0615pm,,Creane M,
34767,PY,0212,01,Dev Psych for Majors with Lab,4,TF 0930-1215pm,,Primavera J,SERL UDIV
35728,PY,0217,01,Crs-Cult Persp on Lifespan Dev,3,TR 0630-0745pm,,Creane M,
34687,PY,0221,01,Social Psychology,3,MR 1230-0145pm,,Andreychik M,
34702,PY,0231,01,Abnormal Psychology for Majors,3,TF 1230-0145pm,,Hollingsworth D,
34703,PY,0234,01,Theories in Psychotherapy,3,MW 0800-0915pm,,Elias D,
34688,PY,0251,01,Cognitive Psychology,3,MR 0200-0315pm,,Henkel L,
35729,PY,0251,02,Cognitive Psychology,3,M 0630-0900pm,,Fichtenholtz H,
34704,PY,0252,01,Lrng & Applied Behavior Anlys,3,MR 0330-0445pm,,Salafia W,
34090,PY,0261,01,Behavioral Neuroscience,3,MR 0930-1045am,,Salafia W,
34155,PY,0261,02,Behavioral Neuroscience,3,TF 1100-1215pm,,Harding S,
35730,PY,0272,01,Hormones and Behavior,3,TF 0200-0315pm,,Harding S,
35731,PY,0281D,01,Topics: Molec & Cellular Neuro,3,MR 1100-1215pm,,Fitzgerald L,
35732,PY,0281E,01,Spec Topics: Psycholinguistics,3,TF 0930-1045am,,Adrada Rafael S,
34689,PY,0291,DB,Internship/Teaching of Psych,3,By Arrangement,,Braginsky D,
34690,PY,0291,JP,Internship/Teaching of Psych,3,By Arrangement,,Primavera J,
34691,PY,0291,LH,Internship/Teaching of Psych,3,By Arrangement,,Henkel L,
34692,PY,0291,RS,Internship/Teaching of Psych,3,By Arrangement,,Salafia W,
35084,PY,0291,SH,Internship/Teaching of Psych,3,By Arrangement,,Harding S,
34693,PY,0295,01,Supervised Research,3,W 0630-0900pm,,Harding S,
35733,PY,0321,01,Social Psych Senior Seminar,3,MR 0330-0445pm,,Andreychik M,
35222,PY,0331,01,Abnormal Child Psyc Sr Seminar,3,W 1100-0130pm,,Primavera J,
35223,PY,0392,01,Internship in Applied Psych,3,W 0630-0900pm,,Braginsky D,
35224,PY,0395,01,Independent Research,4,W 0630-0900pm,,Harding S,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35200,RS,0101A,01,ER: Religion & Critical Mind,3 MR,0930-1045am,Sozek J,
35201,RS,0101A,02,ER: Religion & Critical Mind,3 MR,1100-1215pm,Sozek J,
34545,RS,0101C,01,ER:CommonQuestionsTradResponse,3 MWR,0800-0850am,Slotemaker J,
34546,RS,0101C,02,ER:CommonQuestionsTradResponse,3 MR,0930-1020am,Slotemaker J,
"",,,,,W,0900-0950am,,
